date_local,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,method_code,local_site_name,state
2020-12-31,2020-12-31,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0625,0.1,0.0,560,ROCHESTER 2,New York
2020-12-30,2020-12-30,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.086364,0.3,0.0,560,ROCHESTER 2,New York
2020-12-29,2020-12-29,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.07083300000000001,0.3,0.0,560,ROCHESTER 2,New York
2020-12-28,2020-12-28,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.10416700000000001,0.3,0.0,560,ROCHESTER 2,New York
2020-12-27,2020-12-27,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.07083300000000001,0.2,0.0,560,ROCHESTER 2,New York
2020-12-26,2020-12-26,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-25,2020-12-25,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-24,2020-12-24,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0625,0.1,0.0,560,ROCHESTER 2,New York
2020-12-23,2020-12-23,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0875,0.3,0.0,560,ROCHESTER 2,New York
2020-12-22,2020-12-22,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.025,0.1,0.0,560,ROCHESTER 2,New York
2020-12-21,2020-12-21,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.095238,0.4,0.0,560,ROCHESTER 2,New York
2020-12-20,2020-12-20,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.079167,0.1,0.0,560,ROCHESTER 2,New York
2020-12-19,2020-12-19,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.075,0.2,0.0,560,ROCHESTER 2,New York
2020-12-18,2020-12-18,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.095833,0.3,0.0,560,ROCHESTER 2,New York
2020-12-17,2020-12-17,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0041670000000000006,0.1,0.0,560,ROCHESTER 2,New York
2020-12-16,2020-12-16,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-15,2020-12-15,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-14,2020-12-14,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0125,0.1,0.0,560,ROCHESTER 2,New York
2020-12-13,2020-12-13,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-12,2020-12-12,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.116667,0.4,0.0,560,ROCHESTER 2,New York
2020-12-11,2020-12-11,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.354167,1.1,1.0,560,ROCHESTER 2,New York
2020-12-10,2020-12-10,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.029167000000000002,0.1,0.0,560,ROCHESTER 2,New York
2020-12-09,2020-12-09,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.004545,0.1,0.0,560,ROCHESTER 2,New York
2020-12-08,2020-12-08,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.05,0.2,0.0,560,ROCHESTER 2,New York
2020-12-07,2020-12-07,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.016666999999999998,0.2,0.0,560,ROCHESTER 2,New York
2020-12-06,2020-12-06,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.008333,0.2,0.0,560,ROCHESTER 2,New York
2020-12-05,2020-12-05,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-12-04,2020-12-04,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.329167,0.8,0.0,560,ROCHESTER 2,New York
2020-12-03,2020-12-03,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.091667,0.3,0.0,560,ROCHESTER 2,New York
2020-12-02,2020-12-02,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.033333,0.2,0.0,560,ROCHESTER 2,New York
2020-12-01,2020-12-01,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-11-29,2020-11-29,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.07083300000000001,0.2,0.0,560,ROCHESTER 2,New York
2020-11-28,2020-11-28,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.025,0.3,0.0,560,ROCHESTER 2,New York
2020-11-27,2020-11-27,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.033333,0.2,0.0,560,ROCHESTER 2,New York
2020-11-26,2020-11-26,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.0,0.0,0.0,560,ROCHESTER 2,New York
2020-11-25,2020-11-25,55,1007,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Y,0.06666699999999999,0.3,0.0,560,ROCHESTER 2,New York
